"subject" "activity" "body_acc_x" "body_acc_y" "body_acc_z" "gyro_x" "gyro_y" "gyro_z" "total_acc_x" "total_acc_y" "total_acc_z" "sd_body_x" "sd_body_y" "sd_body_z" "sd_gyrox" "sd_gyroy" "sd_gyroz" "sd_total_x" "sd_total_y" "sd_total_z"
1 "LAYING" -0.0115358889115141 -0.0122609074114397 -0.00161731865601312 0.0114704403783495 0.00444869266497344 0.0275984349941828 0.0114704403783495 0.00444869266497344 0.0275984349941828 0.0247932385018487 0.0296083056112129 0.0343065220791623 0.111817844454636 0.0394522230181932 0.0466008544566952 0.111817844454636 0.0394522230181932 0.0466008544566952
1 "SITTING" -0.00336698807718783 0.00830296874545219 0.00124322219354089 -0.0182292707113541 -0.0079394077457631 -0.0103572343574678 -0.0182292707113541 -0.0079394077457631 -0.0103572343574678 0.0088169456999404 0.0149526077204382 0.0138905489270345 0.0215434646598802 0.0276759264377177 0.030553897435541 0.0215434646598802 0.0276759264377177 0.030553897435541
1 "STANDING" 0.000276532436453538 0.000524808830951651 -0.000757860253643455 0.0038027338948237 0.00674630111015065 -0.00510396859477624 0.0038027338948237 0.00674630111015065 -0.00510396859477624 0.00279620777116816 0.00631350409967788 0.00666297501787722 0.0128522266389872 0.0114006198961243 0.0115637624739882 0.0128522266389872 0.0114006198961243 0.0115637624739882
1 "WALKING" -5.04911990559208e-05 -0.000128854135947368 -0.000938320109560033 -0.014599858215148 0.00217139307711349 -0.00061430490753125 -0.014599858215148 0.00217139307711349 -0.00061430490753125 0.234133338780874 0.192116753389082 0.136100278562349 0.460148204398441 0.725724933538022 0.319697711403702 0.460148204398441 0.725724933538022 0.319697711403702
1 "WALKING_DOWNSTAIRS" 0.00239312484429209 0.00378679923166454 0.000244930193343431 -0.0076353937466199 -0.00749376960210459 0.00166069456162309 -0.0076353937466199 -0.00749376960210459 0.00166069456162309 0.336079889792081 0.167107738240112 0.141422318310637 0.473650027519683 0.670805656547777 0.426010424400372 0.473650027519683 0.670805656547777 0.426010424400372
1 "WALKING_UPSTAIRS" -0.00455728508969634 -0.00357455272079452 0.00363560725781545 0.0806764951158314 -0.041460951730513 -0.0123806836501887 0.0806764951158314 -0.041460951730513 -0.0123806836501887 0.211075716737085 0.172166978248995 0.179359824376013 0.398028599008249 0.770670697587944 0.240820734434467 0.398028599008249 0.770670697587944 0.240820734434467
2 "LAYING" 0.000782620459907878 -0.000535310148371875 0.00035083131030599 0.00948662885829163 -0.0169135999761123 0.0259136753102604 0.00948662885829163 -0.0169135999761123 0.0259136753102604 0.0098467393932228 0.00510277494154364 0.00586136617818346 0.0119088920333111 0.0155671989615223 0.0214119134308631 0.0119088920333111 0.0155671989615223 0.0214119134308631
2 "SITTING" -0.000100652413850713 0.000760627952901495 -0.000300818998898777 -0.0183536569299141 0.0065063506496678 -0.0199630489963625 -0.0183536569299141 0.0065063506496678 -0.0199630489963625 0.00570006599370221 0.0101547066930396 0.0102503102228301 0.0141148265038151 0.0181485853726156 0.0216553942595138 0.0141148265038151 0.0181485853726156 0.0216553942595138
2 "STANDING" 6.91830141262442e-05 -0.000672778292970197 0.000792520785668692 0.00393201028634795 -0.0034766182422254 0.000664936673678241 0.00393201028634795 -0.0034766182422254 0.000664936673678241 0.00555398629324167 0.00902714663922681 0.0120642036221216 0.0252118750798988 0.0238727618319271 0.0192087405353638 0.0252118750798988 0.0238727618319271 0.0192087405353638
2 "WALKING" -0.000236823526445975 -0.0007640919728125 0.000927358610169756 -0.0261456554122987 0.0117845148574828 -0.00154868120596663 -0.0261456554122987 0.0117845148574828 -0.00154868120596663 0.188678607759782 0.159223036474717 0.106385882218855 0.383504266451495 0.355332679945745 0.25345015970436 0.383504266451495 0.355332679945745 0.25345015970436
